Date:14.08.2026	Unit:C	CHARGE:01:47	TP:02:44	DRYe:06:27	FCs:12:39	FCe:	SCs:	SCe:	DROP:13:59	COOL:	Time:22:30
Time1	Time2	ET	BT	Event	{3}	{0}	SV	AT	{1}	AH
00:00		161.5	165.1		20.0	20.0	165.0	30.0	90.0	1.0
00:02		161.5	165.1		30.0	20.0	165.0	30.0	90.0	1.0
00:03		161.6	164.9		25.0	20.0	165.0	30.0	90.0	1.0
00:05		161.7	165.1		15.0	20.0	165.0	30.0	90.0	1.0
00:06		161.8	164.6		45.0	20.0	165.0	30.0	90.0	1.0
00:08		161.9	164.9		30.0	20.0	165.0	30.0	90.0	1.0
00:09		161.9	165.03333333		15.0	20.0	165.0	30.0	90.0	1.0
00:11		161.9	165.16666667		25.0	20.0	165.0	30.0	90.0	1.0
00:12		161.8	165.3		10.0	20.0	165.0	30.0	90.0	1.0
00:14		161.8	165.3		15.0	20.0	165.0	30.0	90.0	1.0
00:15		161.8	165.3		0.0	20.0	165.0	30.0	90.0	1.0
00:17		162.1	165.2		10.0	20.0	165.0	30.0	90.0	1.0
00:18		161.7	165.2		5.0	20.0	165.0	30.0	90.0	1.0
00:20		162.0	165.2		25.0	20.0	165.0	30.0	90.0	1.0
00:21		161.85	165.1		15.0	20.0	165.0	30.0	90.0	1.0
00:23		161.7	165.4		5.0	20.0	165.0	30.0	90.0	1.0
00:24		161.5	165.4		15.0	20.0	165.0	30.0	90.0	1.0
00:26		161.3	165.4		10.0	20.0	165.0	30.0	90.0	1.0
00:27		161.1	165.3		5.0	20.0	165.0	30.0	90.0	1.0
00:29		161.1	165.0		20.0	20.0	165.0	30.0	90.0	1.0
00:30		161.1	165.0		25.0	20.0	165.0	30.0	90.0	1.0
00:31		161.3	165.0		26.66666667	20.0	165.0	30.0	90.0	1.0
00:33		161.0	165.0		28.33333333	20.0	165.0	30.0	90.0	1.0
00:34		161.0	164.8		30.0	20.0	165.0	30.0	90.0	1.0
00:36		161.0	164.8		25.0	20.0	165.0	30.0	90.0	1.0
00:38		160.8	164.8		35.0	20.0	165.0	30.0	90.0	1.0
00:39		161.05	164.7		40.0	20.0	165.0	30.0	90.0	1.0
00:41		161.3	165.1		15.0	20.0	165.0	30.0	90.0	1.0
