Date:01.07.2026	Unit:C	CHARGE:00:09	TP:00:49	DRYe:03:22	FCs:04:23	FCe:05:54	SCs:	SCe:	DROP:07:06	COOL:10:19	Time:20:52
Time1	Time2	ET	BT	Event	{3}	{0}	SV	AT	{1}	AH
00:00		143.9	158.0		60.0	60.0	158.0	28.8	90.0	0.0
00:01		143.75	158.0		60.0	60.0	158.0	28.8	90.0	0.0
00:03		143.6	158.1		60.0	60.0	158.0	28.8	90.0	0.0
00:05		143.8	157.96666667		60.0	60.0	158.0	28.8	90.0	0.0
00:06		143.55	157.83333333		60.0	60.0	158.0	28.8	90.0	0.0
00:07		143.3	157.7		60.0	60.0	158.0	28.8	90.0	0.0
00:09	00:00	143.5	155.53333333	CHARGE	60.0	60.0	158.0	28.8	90.0	0.0
00:10	00:02	143.7	153.36666667		60.0	60.0	158.0	28.8	90.0	0.0
00:12	00:03	144.4	151.2		60.0	60.0	158.0	28.8	90.0	0.0
00:13	00:04	147.0	144.3		60.0	60.0	158.0	28.8	90.0	0.0
00:15	00:06	148.9	138.9		60.0	60.0	158.0	28.8	90.0	0.0
00:16	00:08	150.8	135.4		60.0	60.0	158.0	28.8	90.0	0.0
00:18	00:09	152.0	131.1		60.0	60.0	158.0	28.8	90.0	0.0
00:20	00:11	152.7	127.6		60.0	60.0	158.0	28.8	90.0	0.0
00:21	00:12	153.5	125.2		60.0	60.0	158.0	28.8	90.0	0.0
00:22	00:13	153.8	122.5		60.0	60.0	158.0	28.8	90.0	0.0
00:24	00:15	154.8	119.4		60.0	60.0	158.0	28.8	90.0	0.0
00:25	00:16	155.5	117.1		60.0	60.0	158.0	28.8	90.0	0.0
00:27	00:18	155.9	115.6		60.0	60.0	158.0	28.8	90.0	0.0
00:28	00:20	156.3	113.7		60.0	60.0	158.0	28.8	90.0	0.0
00:30	00:21	156.6	112.5		60.0	60.0	158.0	28.8	90.0	0.0
00:31	00:22	156.9	111.0		60.0	60.0	158.0	28.8	90.0	0.0
00:33	00:24	157.2	109.9		60.0	60.0	158.0	28.8	90.0	0.0
00:34	00:26	157.5	109.0		60.0	60.0	158.0	28.8	90.0	0.0
00:36	00:27	157.7	108.4		60.0	60.0	158.0	28.8	90.0	0.0
00:37	00:28	157.9	107.9		60.0	60.0	158.0	28.8	90.0	0.0
00:39	00:30	158.06666667	107.0		60.0	60.0	158.0	28.8	90.0	0.0
00:40	00:32	158.23333333	106.3		60.0	60.0	158.0	28.8	90.0	0.0
00:42	00:33	158.4	106.05		60.0	60.0	158.0	28.8	90.0	0.0
00:44	00:35	158.4	105.8		60.0	60.0	158.0	28.8	90.0	0.0
00:45	00:36	158.4	105.55		60.0	60.0	158.0	28.8	90.0	0.0
00:47	00:38	158.7	105.3		60.0	60.0	158.0	28.8	90.0	0.0
00:48	00:39	159.2	105.3		60.0	60.0	158.0	28.8	90.0	0.0
00:49	00:40	159.33333333	105.3	TP	60.0	60.0	158.0	28.8	90.0	0.0
00:51	00:42	159.46666667	105.6		60.0	60.0	158.0	28.8	90.0	0.0
00:53	00:44	159.6	105.8		60.0	60.0	158.0	28.8	90.0	0.0
00:54	00:45	159.6	106.0		60.0	60.0	158.0	28.8	90.0	0.0
00:56	00:47	159.6	106.3		60.0	60.0	158.0	28.8	90.0	0.0
00:57	00:48	159.7	106.6		60.0	60.0	158.0	28.8	90.0	0.0
00:59	00:50	159.85	106.95		60.0	60.0	158.0	28.8	90.0	0.0
01:00	00:51	160.0	107.3		60.0	60.0	158.0	28.8	90.0	0.0
01:01	00:53	160.0	107.7		60.0	60.0	158.0	28.8	90.0	0.0
01:03	00:54	160.0	108.1		60.0	60.0	158.0	28.8	90.0	0.0
01:04	00:56	160.1	108.4		60.0	60.0	172.33333333	28.8	90.0	0.0
01:06	00:57	160.25	108.8		60.0	60.0	186.66666667	28.8	90.0	0.0
01:07	00:59	160.4	109.2		60.0	60.0	201.0	28.8	90.0	0.0
01:09	00:60	160.4	110.0		60.0	60.0	208.0	28.8	90.0	0.0
01:10	01:01	160.4	110.3		60.0	60.0	215.0	28.8	90.0	0.0
01:12	01:03	160.2	110.6		60.0	60.0	215.0	28.8	90.0	0.0
01:13	01:04	160.7	111.2		60.0	60.0	215.0	28.8	90.0	0.0
01:15	01:06	160.7	112.1		60.0	60.0	215.0	28.8	90.0	0.0
01:16	01:07	160.7	112.4		60.0	60.0	215.0	28.8	90.0	0.0
01:18	01:09	160.4	112.7		60.0	60.0	215.0	28.8	90.0	0.0
01:19	01:11	160.4	113.3		60.0	60.0	215.0	28.8	90.0	0.0
01:21	01:12	160.4	113.8		60.0	60.0	215.0	28.8	90.0	0.0
01:22	01:14	160.3	114.3		60.0	60.0	215.0	28.8	90.0	0.0
01:24	01:15	160.3	114.8		60.0	60.0	215.0	28.8	90.0	0.0
01:25	01:16	160.3	115.15		60.0	60.0	215.0	28.8	90.0	0.0
01:27	01:18	160.4	115.5		60.0	60.0	215.0	28.8	90.0	0.0
01:29	01:20	160.25	115.8		60.0	60.0	215.0	28.8	90.0	0.0
01:30	01:21	160.1	116.1		60.0	60.0	215.0	28.8	90.0	0.0
01:31	01:22	160.1	116.9		60.0	60.0	215.0	28.8	90.0	0.0
01:33	01:24	160.1	117.5		60.0	60.0	215.0	28.8	90.0	0.0
01:34	01:26	160.1	118.1		60.0	60.0	215.0	28.8	90.0	0.0
01:36	01:27	160.3	118.7		60.0	60.0	215.0	28.8	90.0	0.0
01:37	01:28	160.3	119.2		60.0	60.0	215.0	28.8	90.0	0.0
01:39	01:30	160.3	119.6		60.0	60.0	215.0	28.8	90.0	0.0
01:40	01:32	160.1	120.1		60.0	60.0	215.0	28.8	90.0	0.0
01:42	01:33	160.3	120.8		60.0	60.0	215.0	28.8	90.0	0.0
01:43	01:34	160.5	121.15		60.0	60.0	215.0	28.8	90.0	0.0
01:45	01:36	160.5	121.5		60.0	60.0	215.0	28.8	90.0	0.0
01:46	01:38	160.5	121.9		60.0	60.0	215.0	28.8	90.0	0.0
01:48	01:39	160.6	122.3		60.0	60.0	215.0	28.8	90.0	0.0
01:49	01:41	160.6	122.8		60.0	60.0	215.0	28.8	90.0	0.0
01:51	01:42	160.6	123.3		60.0	60.0	215.0	28.8	90.0	0.0
01:53	01:44	160.6	123.8		60.0	60.0	215.0	28.8	90.0	0.0
01:54	01:45	160.5	124.2		60.0	60.0	215.0	28.8	90.0	0.0
01:55	01:46	160.5	124.6		60.0	60.0	215.0	28.8	90.0	0.0
01:57	01:48	160.5	125.1		60.0	60.0	215.0	28.8	90.0	0.0
01:59	01:50	160.6	125.6		60.0	60.0	215.0	28.8	90.0	0.0
01:60	01:51	160.6	126.2		60.0	60.0	215.0	28.8	90.0	0.0
02:01	01:53	160.6	126.6		60.0	60.0	215.0	28.8	90.0	0.0
02:03	01:54	160.5	127.1		60.0	60.0	215.0	28.8	90.0	0.0
02:05	01:56	159.7	127.6		60.0	60.0	215.0	28.8	90.0	0.0
02:06	01:57	160.1	128.2		60.0	60.0	215.0	28.8	90.0	0.0
02:07	01:59	160.2	128.6		60.0	60.0	215.0	28.8	90.0	0.0
02:09	02:00	160.3	129.2		60.0	60.0	215.0	28.8	90.0	0.0
02:11	02:02	160.4	129.5		60.0	60.0	215.0	28.8	90.0	0.0
02:12	02:03	160.4	129.8		60.0	60.0	215.0	28.8	90.0	0.0
02:13	02:04	160.4	130.3		60.0	60.0	215.0	28.8	90.0	0.0
02:15	02:06	160.4	130.7		60.0	60.0	215.0	28.8	90.0	0.0
02:16	02:08	160.3	131.1		60.0	60.0	215.0	28.8	90.0	0.0
02:18	02:09	160.2	131.4		60.0	60.0	215.0	28.8	90.0	0.0
02:19	02:10	160.1	131.9		60.0	60.0	215.0	28.8	90.0	0.0
02:21	02:12	160.0	132.4		60.0	60.0	215.0	28.8	90.0	0.0
02:22	02:13	160.3	132.8		60.0	60.0	215.0	28.8	90.0	0.0
02:24	02:15	160.3	133.4		60.0	60.0	215.0	28.8	90.0	0.0
02:25	02:17	160.3	133.7		60.0	60.0	215.0	28.8	90.0	0.0
02:27	02:18	160.5	134.0		60.0	60.0	215.0	28.8	90.0	0.0
02:28	02:19	160.5	135.0		60.0	60.0	215.0	28.8	90.0	0.0
02:30	02:21	160.5	135.35		60.0	60.0	215.0	28.8	90.0	0.0
02:31	02:23	160.6	135.7		60.0	60.0	215.0	28.8	90.0	0.0
02:33	02:24	160.8	136.2		60.0	60.0	215.0	28.8	90.0	0.0
02:34	02:26	161.0	136.7		60.0	60.0	215.0	28.8	90.0	0.0
02:36	02:27	160.9	137.0		60.0	60.0	215.0	28.8	90.0	0.0
02:38	02:29	160.8	137.4		60.0	60.0	215.0	28.8	90.0	0.0
02:39	02:30	160.7	138.1		60.0	60.0	215.0	28.8	90.0	0.0
02:41	02:32	160.7	138.7		60.0	60.0	215.0	28.8	90.0	0.0
02:42	02:33	160.7	139.0		60.0	60.0	215.0	28.8	90.0	0.0
02:43	02:34	160.8	139.3		60.0	60.0	215.0	28.8	90.0	0.0
02:45	02:36	160.8	139.7		60.0	60.0	215.0	28.8	90.0	0.0
02:46	02:37	160.8	140.2		60.0	60.0	215.0	28.8	90.0	0.0
02:48	02:39	161.0	140.7		60.0	60.0	215.0	28.8	90.0	0.0
02:49	02:41	160.8	141.4		60.0	60.0	215.0	28.8	90.0	0.0
02:51	02:42	160.6	141.8		60.0	60.0	215.0	28.8	90.0	0.0
02:52	02:43	160.6	142.2		60.0	60.0	215.0	28.8	90.0	0.0
02:54	02:45	160.6	142.45		60.0	60.0	215.0	28.8	90.0	0.0
02:55	02:46	160.7	142.7		60.0	60.0	215.0	28.8	90.0	0.0
02:57	02:48	160.7	143.3		60.0	60.0	215.0	28.8	90.0	0.0
02:58	02:49	160.7	143.65		60.0	60.0	215.0	28.8	90.0	0.0
02:60	02:51	160.5	144.0		60.0	60.0	215.0	28.8	90.0	0.0
03:01	02:52	160.75	144.5		60.0	60.0	215.0	28.8	90.0	0.0
03:03	02:54	161.0	145.1		60.0	60.0	215.0	28.8	90.0	0.0
03:04	02:55	160.5	145.4		60.0	60.0	215.0	28.8	90.0	0.0
03:06	02:57	161.1	145.83333333		60.0	60.0	215.0	28.8	90.0	0.0
03:07	02:58	161.1	146.26666667		60.0	60.0	215.0	28.8	90.0	0.0
03:09	02:60	161.1	146.7		60.0	60.0	215.0	28.8	90.0	0.0
03:11	03:02	161.3	147.0		60.0	60.0	215.0	28.8	90.0	0.0
03:12	03:03	161.16666667	147.3		60.0	60.0	215.0	28.8	90.0	0.0
03:13	03:04	161.03333333	147.7		60.0	60.0	215.0	28.8	90.0	0.0
03:15	03:06	160.9	148.3		60.0	60.0	215.0	28.8	90.0	0.0
03:17	03:08	161.4	148.9		60.0	60.0	215.0	28.8	90.0	0.0
03:18	03:09	161.8	149.15		60.0	60.0	215.0	28.8	90.0	0.0
03:19	03:11	161.3	149.4		60.0	60.0	215.0	28.8	90.0	0.0
03:21	03:12	161.3	149.65		60.0	60.0	215.0	28.8	90.0	0.0
03:22	03:13	161.3	149.9	DRY End	60.0	60.0	215.0	28.8	90.0	0.0
03:24	03:15	161.5	150.5		60.0	60.0	215.0	28.8	90.0	0.0
03:25	03:17	161.5	151.0		60.0	60.0	215.0	28.8	90.0	0.0
03:27	03:18	161.6	151.5		60.0	60.0	215.0	28.8	90.0	0.0
03:29	03:20	161.7	151.8		60.0	60.0	215.0	28.8	90.0	0.0
03:30	03:21	161.8	152.25		60.0	60.0	215.0	28.8	90.0	0.0
03:32	03:23	161.55	152.7		60.0	60.0	215.0	28.8	90.0	0.0
03:33	03:24	161.3	153.2		60.0	60.0	215.0	28.8	90.0	0.0
03:34	03:25	161.46666667	153.9		60.0	60.0	215.0	28.8	90.0	0.0
03:36	03:27	161.63333333	154.2		60.0	60.0	215.0	28.8	90.0	0.0
03:38	03:29	161.8	154.5		60.0	60.0	215.0	28.8	90.0	0.0
03:39	03:30	161.8	154.8		60.0	60.0	215.0	28.8	90.0	0.0
03:40	03:31	161.8	155.05		60.0	60.0	215.0	28.8	90.0	0.0
03:42	03:33	162.1	155.3		60.0	60.0	215.0	28.8	90.0	0.0
03:43	03:35	161.7	155.8		60.0	60.0	215.0	28.8	90.0	0.0
03:45	03:36	162.05	156.35		60.0	60.0	215.0	28.8	90.0	0.0
03:46	03:38	162.4	156.9		60.0	60.0	215.0	28.8	90.0	0.0
03:48	03:39	162.4	157.3		60.0	60.0	215.0	28.8	90.0	0.0
03:49	03:41	162.4	157.5		60.0	60.0	215.0	28.8	90.0	0.0
03:51	03:42	162.3	157.7		60.0	60.0	215.0	28.8	90.0	0.0
03:52	03:43	162.3	158.5		60.0	60.0	215.0	28.8	90.0	0.0
03:54	03:45	162.3	158.9		60.0	60.0	215.0	28.8	90.0	0.0
03:55	03:47	162.5	159.13333333		60.0	61.66666667	215.0	28.8	90.0	0.0
03:57	03:48	162.5	159.36666667		60.0	63.33333333	215.0	28.8	90.0	0.0
03:59	03:50	162.5	159.6		60.0	65.0	215.0	28.8	90.0	0.0
03:60	03:51	162.4	160.3		60.0	70.0	215.0	28.8	90.0	0.0
04:01	03:53	162.4	160.9		60.0	70.0	215.0	28.8	90.0	0.0
04:03	03:54	162.4	161.25		60.0	70.0	215.0	28.8	90.0	0.0
04:04	03:56	162.4	161.6		60.0	70.0	215.0	28.8	90.0	0.0
04:06	03:57	162.5	162.0		56.66666667	70.0	215.0	28.8	90.0	0.0
04:07	03:59	162.5	162.15		53.33333333	70.0	215.0	28.8	90.0	0.0
04:09	04:00	162.5	162.3		50.0	70.0	215.0	28.8	90.0	0.0
04:10	04:01	162.3	163.0		50.0	70.0	215.0	28.8	90.0	0.0
04:12	04:03	162.1	163.4		50.0	70.0	215.0	28.8	90.0	0.0
04:13	04:05	161.9	163.8		50.0	70.0	215.0	28.8	90.0	0.0
04:15	04:06	161.8	164.3		50.0	70.0	215.0	28.8	90.0	0.0
04:16	04:08	161.7	164.7		50.0	70.0	215.0	28.8	90.0	0.0
04:18	04:09	161.6	165.1		50.0	70.0	215.0	28.8	90.0	0.0
04:20	04:11	161.6	165.4		50.0	70.0	215.0	28.8	90.0	0.0
04:21	04:12	161.6	165.8		50.0	70.0	215.0	28.8	90.0	0.0
04:23	04:14	161.6	166.2	FCs	50.0	70.0	215.0	28.8	90.0	0.0
04:24	04:15	161.7	166.5		50.0	70.0	215.0	28.8	90.0	0.0
04:25	04:16	161.8	167.0		40.0	70.0	215.0	28.8	90.0	0.0
04:27	04:18	161.9	167.5		30.0	70.0	215.0	28.8	90.0	0.0
04:28	04:19	161.73333333	167.8		20.0	70.0	215.0	28.8	90.0	0.0
04:30	04:21	161.56666667	168.5		20.0	70.0	215.0	28.8	90.0	0.0
04:32	04:23	161.4	168.65		20.0	70.0	215.0	28.8	90.0	0.0
04:33	04:24	161.3	168.8		20.0	70.0	215.0	28.8	90.0	0.0
04:34	04:26	161.2	169.3		20.0	70.0	215.0	28.8	90.0	0.0
04:36	04:27	161.1	169.8		20.0	70.0	215.0	28.8	90.0	0.0
04:37	04:28	160.5	170.15		20.0	70.0	215.0	28.8	90.0	0.0
04:39	04:30	160.8	170.5		20.0	70.0	215.0	28.8	90.0	0.0
