Date:03.07.2026	Unit:C	CHARGE:00:05	TP:00:45	DRYe:03:37	FCs:08:19	FCe:	SCs:	SCe:	DROP:09:20	COOL:13:16	Time:22:49
Time1	Time2	ET	BT	Event	{3}	{0}	SV	AT	{1}	AH
00:00		146.8	150.1		45.0	60.0	150.0	28.8	90.0	0.0
00:02		145.8	149.8		45.0	60.0	150.0	28.8	90.0	0.0
00:03		144.1	149.5		45.0	60.0	150.0	28.8	90.0	0.0
00:05	00:00	143.1	149.3	CHARGE	45.0	60.0	150.0	28.8	90.0	0.0
00:06	00:01	143.1	149.1		45.0	60.0	150.0	28.8	90.0	0.0
00:07	00:03	143.1	144.0		45.0	60.0	150.0	28.8	90.0	0.0
00:09	00:04	142.9	137.9		45.0	60.0	150.0	28.8	90.0	0.0
00:10	00:06	142.75	133.3		45.0	60.0	150.0	28.8	90.0	0.0
00:12	00:07	142.6	129.4		45.0	60.0	150.0	28.8	90.0	0.0
00:13	00:09	142.2	126.5		45.0	60.0	150.0	28.8	90.0	0.0
00:15	00:10	141.9	123.7		45.0	60.0	150.0	28.8	90.0	0.0
00:17	00:12	141.6	121.5		45.0	60.0	150.0	28.8	90.0	0.0
00:18	00:13	141.6	118.2		45.0	60.0	150.0	28.8	90.0	0.0
00:20	00:15	141.6	116.4		45.0	60.0	150.0	28.8	90.0	0.0
00:21	00:16	141.3	114.5		45.0	60.0	150.0	28.8	90.0	0.0
00:22	00:18	140.95	113.0		45.0	60.0	150.0	28.8	90.0	0.0
00:24	00:19	140.6	111.7		45.0	60.0	150.0	28.8	90.0	0.0
00:26	00:21	140.6	110.4		45.0	60.0	150.0	28.8	90.0	0.0
00:27	00:22	140.6	109.6		45.0	60.0	150.0	28.8	90.0	0.0
00:28	00:24	140.5	108.7		45.0	60.0	150.0	28.8	90.0	0.0
00:30	00:25	140.4	107.9		45.0	60.0	150.0	28.8	90.0	0.0
00:31	00:27	140.3	107.1		45.0	60.0	150.0	28.8	90.0	0.0
00:33	00:28	140.2	106.3		45.0	60.0	150.0	28.8	90.0	0.0
00:34	00:30	140.5	106.0		45.0	60.0	150.0	28.8	90.0	0.0
00:36	00:31	139.9	105.7		45.0	60.0	150.0	28.8	90.0	0.0
00:37	00:33	139.9	105.45		45.0	60.0	150.0	28.8	90.0	0.0
00:39	00:34	139.9	105.2		45.0	60.0	150.0	28.8	90.0	0.0
00:40	00:36	140.0	105.2		45.0	60.0	150.0	28.8	90.0	0.0
00:42	00:37	140.0	105.2		45.0	60.0	150.0	28.8	90.0	0.0
00:43	00:39	140.0	105.2		45.0	60.0	150.0	28.8	90.0	0.0
00:45	00:40	140.0	105.1	TP	45.0	60.0	150.0	28.8	90.0	0.0
00:46	00:42	139.9	105.4		45.0	60.0	150.0	28.8	90.0	0.0
