Date:05.07.2026	Unit:C	CHARGE:	TP:00:12	DRYe:	FCs:	FCe:	SCs:	SCe:	DROP:	COOL:	Time:15:07
Time1	Time2	ET	BT	Event	{3}	{0}	SV	AT	{1}	AH
00:00		30.6	30.3		5.0	0.0	0.0	28.8	40.0	0.0
00:02		30.6	30.3		5.0	0.0	0.0	28.8	40.0	0.0
00:03		30.6	30.1		5.0	0.0	0.0	28.8	40.0	0.0
00:04		30.6	30.4		5.0	0.0	0.0	28.8	40.0	0.0
00:06		30.6	30.4		5.0	0.0	0.0	28.8	40.0	0.0
00:07		30.8	30.4		6.66666667	0.0	0.0	28.8	40.0	0.0
00:09		30.8	30.6		8.33333333	0.0	0.0	28.8	40.0	0.0
00:11		30.8	30.35		10.0	0.0	0.0	28.8	40.0	0.0
00:12		30.6	30.1	TP	10.0	0.0	0.0	28.8	40.0	0.0
00:13		30.73333333	30.6		10.0	0.0	0.0	28.8	40.0	0.0
00:15		30.86666667	30.6		10.0	0.0	0.0	28.8	40.0	0.0
00:17		31.0	30.6		10.0	0.0	0.0	28.8	40.0	0.0
00:18		31.0	30.6		10.0	0.0	0.0	28.8	40.0	0.0
00:19		31.0	30.5		10.0	0.0	0.0	28.8	40.0	0.0
00:21		31.2	30.5		13.33333333	0.0	0.0	28.8	40.0	0.0
00:23		31.05	30.5		16.66666667	0.0	0.0	28.8	40.0	0.0
00:24		30.9	30.4		20.0	0.0	0.0	28.8	40.0	0.0
00:26		31.2	30.7		30.0	0.0	0.0	28.8	40.0	0.0
00:27		31.5	31.0		30.0	0.0	0.0	28.8	40.0	0.0
00:29		30.9	30.9		30.0	0.0	0.0	28.8	40.0	0.0
00:30		31.2	30.8		30.0	0.0	0.0	28.8	40.0	0.0
00:32		31.2	30.7		30.0	0.0	0.0	28.8	40.0	0.0
00:33		31.2	30.7		30.0	0.0	0.0	28.8	40.0	0.0
00:34		31.4	30.7		30.0	0.0	0.0	28.8	40.0	0.0
00:36		31.4	30.9		30.0	0.0	0.0	28.8	40.0	0.0
00:38		31.4	30.7		30.0	1.66666667	0.0	28.8	40.0	0.0
00:39		31.5	30.5		30.0	3.33333333	0.0	28.8	40.0	0.0
00:40		31.5	31.0		30.0	5.0	0.0	28.8	40.0	0.0
00:42		31.5	30.9		30.0	5.0	0.0	28.8	40.0	0.0
00:44		31.4	30.8		53.33333333	5.0	0.0	28.8	40.0	0.0
00:45		31.4	30.7		76.66666667	5.0	0.0	28.8	40.0	0.0
00:47		31.4	30.95		100.0	5.0	0.0	28.8	40.0	0.0
00:48		31.5	31.2		100.0	5.0	0.0	28.8	40.0	0.0
00:49		31.6	30.7		100.0	5.0	0.0	28.8	40.0	0.0
00:51		31.7	31.1		100.0	5.0	0.0	28.8	40.0	0.0
00:53		31.8	31.1		100.0	5.0	0.0	28.8	40.0	0.0
00:54		31.5	31.1		100.0	5.0	0.0	28.8	40.0	0.0
00:56		31.9	31.1		100.0	5.0	0.0	28.8	40.0	0.0
